sample_id,pred_x,pred_y,gt_x,gt_y,error_px,scale,score,matched,time_ms
28,640.5,200.5,640.0,200.0,0.707,0.105,0.8063,True,2741.96
29,211.0,700.0,210.5,700.5,0.707,0.12,0.8183,True,2807.75
30,271.0,220.0,270.5,220.5,0.707,0.09,0.765,True,2834.85
31,420.5,809.5,420.0,810.0,0.707,0.085,0.7549,True,2764.86
32,730.5,590.5,730.5,590.5,0.0,0.115,0.7854,True,2752.12
33,190.0,510.0,190.0,510.0,0.0,0.09,0.8005,True,2793.19
34,210.5,369.5,210.0,370.0,0.707,0.105,0.8388,True,2780.48
35,660.0,670.0,660.0,670.0,0.0,0.1,0.7936,True,2712.96
36,640.5,670.5,640.5,670.5,0.0,0.115,0.872,True,2716.45
37,230.0,700.0,230.0,700.0,0.0,0.09,0.7303,True,2770.78
38,580.0,800.0,580.0,800.0,0.0,0.12,0.8136,True,2816.02
39,491.0,551.0,490.5,550.5,0.707,0.11,0.7795,True,2833.47
40,291.0,601.0,290.5,600.5,0.707,0.08,0.7905,True,2888.66
41,400.0,610.0,400.0,610.0,0.0,0.11,0.7807,True,2804.03
42,670.0,700.0,670.0,700.0,0.0,0.11,0.7775,True,1704.08
43,830.5,650.5,830.5,650.5,0.0,0.105,0.8213,True,1240.82
44,530.5,220.5,530.5,220.5,0.0,0.085,0.85,True,1258.98
45,250.5,630.5,250.5,630.5,0.0,0.095,0.8451,True,1347.99
46,280.5,750.5,280.5,750.5,0.0,0.095,0.7639,True,1327.05
47,511.0,321.0,510.5,320.5,0.707,0.09,0.762,True,1314.22
48,350.5,209.5,350.0,210.0,0.707,0.105,0.8012,True,1347.84
49,300.0,641.0,300.5,640.5,0.707,0.11,0.7671,True,1304.9
50,741.0,751.0,740.5,750.5,0.707,0.11,0.7859,True,1253.29
51,300.0,680.0,300.0,680.0,0.0,0.1,0.7983,True,1236.52
52,710.5,820.5,710.5,820.5,0.0,0.095,0.7594,True,1300.19
53,790.5,630.5,790.5,630.5,0.0,0.105,0.8213,True,1289.7
54,311.0,511.0,310.5,510.5,0.707,0.11,0.7809,True,1306.69
55,470.5,740.5,470.5,740.5,0.0,0.085,0.7897,True,2368.46
56,660.5,430.5,660.5,430.5,0.0,0.085,0.7837,True,2751.39
57,780.0,570.0,780.0,570.0,0.0,0.09,0.8076,True,2847.43
58,670.5,460.5,670.5,460.5,0.0,0.115,0.7422,True,2839.25
59,510.0,690.0,510.0,690.0,0.0,0.09,0.7873,True,2797.35
60,180.0,590.0,180.5,590.5,0.707,0.1,0.7958,True,2800.25
61,680.0,770.0,680.0,770.0,0.0,0.1,0.8006,True,2606.45
62,361.0,490.0,360.5,490.5,0.707,0.12,0.8599,True,2615.98
63,590.5,400.5,590.5,400.5,0.0,0.115,0.8507,True,2610.73
64,280.5,520.5,280.0,520.0,0.707,0.085,0.7698,True,2632.13
65,710.0,181.0,710.5,180.5,0.707,0.08,0.7793,True,2455.46
66,680.5,360.5,680.5,360.5,0.0,0.085,0.7707,True,2634.58
67,370.5,590.5,370.5,590.5,0.0,0.105,0.8911,True,2689.71
68,729.5,810.5,730.0,810.0,0.707,0.115,0.8332,True,2620.33
69,500.0,600.0,500.0,600.0,0.0,0.09,0.7994,True,2866.59
70,230.0,790.0,230.0,790.0,0.0,0.1,0.8177,True,2909.82
71,170.0,200.0,170.0,200.0,0.0,0.12,0.8036,True,3105.97
72,720.5,390.5,720.5,390.5,0.0,0.115,0.8838,True,3198.92
73,560.5,350.5,560.5,350.5,0.0,0.085,0.8026,True,3307.24
74,650.5,270.5,650.5,270.5,0.0,0.095,0.8545,True,2922.11
75,410.0,690.0,410.0,690.0,0.0,0.11,0.8296,True,2319.52
76,780.5,180.5,780.5,180.5,0.0,0.085,0.7459,True,2326.06
77,380.5,690.5,380.5,690.5,0.0,0.085,0.7715,True,2685.39
78,540.5,200.5,540.5,200.5,0.0,0.095,0.735,True,2850.7
79,390.0,550.0,820.0,600.0,432.897,0.1,0.7393,True,2893.51
80,330.5,610.5,330.5,610.5,0.0,0.085,0.844,True,2695.55
81,530.5,310.5,530.5,310.5,0.0,0.095,0.81,True,2574.07
82,250.0,800.0,250.0,800.0,0.0,0.11,0.8212,True,2308.21
83,410.5,560.5,410.5,560.5,0.0,0.105,0.8731,True,2419.07
84,181.0,501.0,180.5,500.5,0.707,0.08,0.7436,True,2409.38
85,291.0,601.0,290.5,600.5,0.707,0.1,0.7956,True,2151.0
86,720.0,490.0,720.0,490.0,0.0,0.08,0.7463,True,2418.13
87,651.0,620.0,650.5,620.5,0.707,0.11,0.7943,True,2324.58
88,540.0,811.0,540.5,810.5,0.707,0.09,0.7681,True,2300.13
89,720.5,220.5,720.5,220.5,0.0,0.115,0.7675,True,2507.88
90,520.0,410.0,280.5,250.5,287.751,0.1,0.7719,True,2357.29
91,681.0,361.0,680.5,360.5,0.707,0.11,0.7831,True,2243.64
92,310.5,500.5,310.5,500.5,0.0,0.095,0.7968,True,2420.54
93,650.5,429.5,650.0,430.0,0.707,0.115,0.7879,True,2182.88
94,770.0,230.0,780.5,790.5,560.598,0.1,0.7264,True,2408.5
95,611.0,211.0,610.5,210.5,0.707,0.12,0.8311,True,2266.44
96,500.0,370.0,500.0,370.0,0.0,0.12,0.7934,True,2387.05
97,659.5,570.5,660.0,570.0,0.707,0.085,0.7738,True,2298.25
98,550.0,320.0,550.0,320.0,0.0,0.1,0.8051,True,2297.01
99,390.0,780.0,390.0,780.0,0.0,0.09,0.7536,True,2143.02
100,630.5,770.5,630.0,770.0,0.707,0.105,0.8006,True,2378.93
101,270.0,760.0,270.5,760.5,0.707,0.08,0.7362,True,2423.33
102,590.5,520.5,590.5,520.5,0.0,0.105,0.8092,True,2390.49
103,420.5,240.5,420.5,240.5,0.0,0.115,0.7773,True,2323.55
104,721.0,171.0,720.5,170.5,0.707,0.11,0.7637,True,2080.67
105,390.5,590.5,390.5,590.5,0.0,0.085,0.7895,True,2048.04
106,560.0,540.0,460.0,430.0,148.661,0.1,0.7624,True,2036.14
107,710.5,349.5,710.0,350.0,0.707,0.085,0.7682,True,2055.82
108,180.5,289.5,180.0,290.0,0.707,0.105,0.8321,True,2060.83
109,460.0,650.0,310.5,230.5,445.343,0.1,0.711,True,2208.93
110,610.0,371.0,610.5,370.5,0.707,0.09,0.7648,True,2206.45
111,711.0,241.0,710.5,240.5,0.707,0.09,0.7754,True,2131.8
112,820.5,270.5,820.5,270.5,0.0,0.115,0.9006,True,2151.16
113,170.0,730.0,170.0,730.0,0.0,0.11,0.8381,True,2258.33
114,470.0,650.0,470.5,650.5,0.707,0.1,0.8028,True,2216.86
115,829.5,370.5,830.0,370.0,0.707,0.115,0.8202,True,2142.41
116,511.0,731.0,510.5,730.5,0.707,0.11,0.8025,True,2509.11
117,200.5,440.5,200.5,440.5,0.0,0.085,0.8468,True,2113.08
118,589.5,760.5,590.0,760.0,0.707,0.115,0.8255,True,2131.81
119,300.5,240.5,300.5,240.5,0.0,0.115,0.7754,True,2127.59
120,570.5,400.5,570.5,400.5,0.0,0.105,0.8026,True,2243.05
121,710.0,650.0,710.5,650.5,0.707,0.1,0.8061,True,2227.68
122,580.0,431.0,580.5,430.5,0.707,0.11,0.7978,True,2234.05
123,690.5,310.5,690.5,310.5,0.0,0.115,0.7785,True,2361.1
124,820.5,230.5,820.5,230.5,0.0,0.095,0.8542,True,2266.14
125,250.0,610.0,830.0,310.0,652.993,0.1,0.7513,True,2785.43
126,599.5,429.5,600.0,430.0,0.707,0.085,0.7528,True,2746.67
127,460.5,290.5,460.5,290.5,0.0,0.115,0.7866,True,2874.79
128,380.5,400.5,380.5,400.5,0.0,0.095,0.8187,True,2881.3
129,180.5,510.5,180.5,510.5,0.0,0.115,0.8853,True,3083.34
130,830.5,570.5,830.5,570.5,0.0,0.115,0.8515,True,2992.07
131,590.5,650.5,590.0,650.0,0.707,0.085,0.7891,True,3000.07
132,580.5,210.5,580.5,210.5,0.0,0.115,0.7672,True,2854.95
133,220.0,810.0,220.0,810.0,0.0,0.11,0.81,True,2769.2
134,260.0,701.0,260.5,700.5,0.707,0.08,0.7886,True,2930.71
135,450.5,430.5,450.5,430.5,0.0,0.085,0.8136,True,2877.35
136,500.5,710.5,500.5,710.5,0.0,0.115,0.8734,True,3015.88
137,610.5,500.5,610.5,500.5,0.0,0.095,0.8144,True,2994.55
138,760.5,650.5,760.5,650.5,0.0,0.105,0.805,True,2995.95
139,689.5,690.5,690.0,690.0,0.707,0.115,0.8401,True,1833.04
140,700.5,240.5,700.5,240.5,0.0,0.115,0.8246,True,1282.95
141,410.0,330.0,410.0,330.0,0.0,0.11,0.8308,True,1261.48
142,469.5,200.5,470.0,200.0,0.707,0.085,0.7463,True,1372.52
143,190.5,230.5,190.5,230.5,0.0,0.105,0.8363,True,2580.65
144,279.5,269.5,280.0,270.0,0.707,0.085,0.7742,True,2839.88
145,361.0,480.0,360.5,480.5,0.707,0.1,0.7799,True,2982.51
146,380.0,610.0,380.0,610.0,0.0,0.1,0.7965,True,2969.59
147,540.0,770.0,540.0,770.0,0.0,0.1,0.7757,True,2926.01
148,350.5,779.5,350.0,780.0,0.707,0.105,0.8203,True,2976.82
149,550.0,180.0,550.0,180.0,0.0,0.1,0.8737,True,2904.28
150,540.5,199.5,540.0,200.0,0.707,0.115,0.8388,True,2835.4
151,340.0,470.0,490.0,270.0,250.0,0.1,0.7784,True,2927.73
152,420.0,511.0,420.5,510.5,0.707,0.09,0.762,True,2736.2
153,750.5,439.5,750.0,440.0,0.707,0.095,0.813,True,3031.02
154,390.5,250.5,390.5,250.5,0.0,0.085,0.7883,True,2893.13
155,690.0,550.0,690.0,550.0,0.0,0.12,0.8202,True,2947.58
156,510.0,430.0,510.0,430.0,0.0,0.1,0.8659,True,3018.13
157,560.5,790.5,560.5,790.5,0.0,0.105,0.8923,True,2779.59
158,610.0,590.0,610.0,590.0,0.0,0.1,0.7835,True,2922.44
159,690.0,351.0,690.5,350.5,0.707,0.11,0.7763,True,2938.69
160,800.0,220.0,800.0,220.0,0.0,0.12,0.8336,True,2905.93
161,330.0,400.0,330.0,400.0,0.0,0.09,0.8129,True,2814.28
162,531.0,730.0,530.5,730.5,0.707,0.08,0.77,True,2890.08
163,460.5,479.5,460.0,480.0,0.707,0.085,0.7445,True,2819.65
164,340.5,550.5,340.5,550.5,0.0,0.095,0.8566,True,2703.84
165,180.0,520.0,180.0,520.0,0.0,0.11,0.8397,True,2690.15
166,270.0,760.0,270.0,760.0,0.0,0.08,0.8435,True,2893.36
167,470.0,320.0,220.5,320.5,249.501,0.1,0.7074,True,2840.56
168,530.5,250.5,530.5,250.5,0.0,0.115,0.8267,True,1307.79
169,590.5,380.5,590.5,380.5,0.0,0.095,0.8698,True,1609.02
170,320.0,600.0,320.0,600.0,0.0,0.12,0.8919,True,3038.94
171,280.0,271.0,280.5,270.5,0.707,0.08,0.7814,True,2959.48
172,820.5,540.5,820.5,540.5,0.0,0.095,0.8646,True,2963.37
173,740.5,520.5,740.5,520.5,0.0,0.115,0.7931,True,3279.26
174,750.0,630.0,750.0,630.0,0.0,0.08,0.7791,True,2970.12
175,510.5,619.5,510.0,620.0,0.707,0.095,0.8168,True,2883.9
176,450.0,820.0,450.0,820.0,0.0,0.11,0.7943,True,2461.08
177,570.5,740.5,570.5,740.5,0.0,0.095,0.8534,True,2666.43
178,650.0,760.0,650.0,760.0,0.0,0.1,0.8126,True,2577.76
179,810.5,250.5,810.5,250.5,0.0,0.115,0.8516,True,2019.9
180,320.5,479.5,320.0,480.0,0.707,0.105,0.8175,True,1259.65
181,700.0,470.0,700.0,470.0,0.0,0.11,0.8396,True,1496.22
182,281.0,211.0,280.5,210.5,0.707,0.09,0.7861,True,2019.91
183,280.5,540.5,280.0,540.0,0.707,0.095,0.8131,True,2132.91
184,560.5,790.5,560.0,790.0,0.707,0.115,0.823,True,2192.63
185,220.5,400.5,220.0,400.0,0.707,0.115,0.7803,True,2191.17
186,510.5,620.5,510.5,620.5,0.0,0.085,0.7681,True,2090.49
187,200.5,680.5,200.5,680.5,0.0,0.105,0.81,True,1786.15
188,230.5,220.5,230.5,220.5,0.0,0.095,0.8379,True,2194.5
189,510.5,290.5,510.5,290.5,0.0,0.095,0.7517,True,2196.3
190,730.0,180.0,730.0,180.0,0.0,0.1,0.7973,True,2263.98
191,530.0,760.0,530.0,760.0,0.0,0.1,0.8925,True,2419.22
192,310.5,180.5,310.5,180.5,0.0,0.095,0.8835,True,2379.9
193,361.0,771.0,360.5,770.5,0.707,0.11,0.7919,True,2584.98
194,440.5,580.5,440.5,580.5,0.0,0.095,0.8155,True,2271.46
195,670.5,400.5,670.0,400.0,0.707,0.105,0.8199,True,2289.09
196,700.0,640.0,700.0,640.0,0.0,0.1,0.8082,True,2313.81
197,540.5,649.5,540.0,650.0,0.707,0.105,0.8174,True,2307.93
198,410.5,409.5,410.0,410.0,0.707,0.115,0.8162,True,2249.37
199,570.0,640.0,570.0,640.0,0.0,0.09,0.7711,True,2157.18
200,300.0,731.0,300.5,730.5,0.707,0.12,0.8386,True,2124.49
201,660.5,780.5,660.5,780.5,0.0,0.095,0.8047,True,2313.02
202,701.0,420.0,700.5,420.5,0.707,0.09,0.7324,True,2348.49
203,510.0,190.0,510.0,190.0,0.0,0.08,0.7716,True,2446.95
204,670.5,240.5,670.0,240.0,0.707,0.105,0.8093,True,2350.9
205,660.5,200.5,660.5,200.5,0.0,0.105,0.8302,True,2220.65
206,390.0,460.0,390.0,460.0,0.0,0.08,0.8041,True,2423.8
207,300.5,180.5,300.5,180.5,0.0,0.105,0.9085,True,2233.13
208,670.5,480.5,670.5,480.5,0.0,0.095,0.7664,True,2213.57
209,570.5,519.5,570.0,520.0,0.707,0.085,0.7779,True,2608.67
210,360.0,360.0,360.5,360.5,0.707,0.09,0.7222,True,2163.94
211,490.5,470.5,490.5,470.5,0.0,0.085,0.7476,True,2258.45
212,580.0,330.0,290.5,560.5,370.055,0.1,0.7424,True,2382.79
213,770.5,680.5,770.5,680.5,0.0,0.085,0.7578,True,2160.75
214,640.0,650.0,640.0,650.0,0.0,0.11,0.8497,True,2374.3
215,199.5,330.5,200.0,330.0,0.707,0.095,0.811,True,2358.85
216,450.5,409.5,450.0,410.0,0.707,0.105,0.8267,True,2249.46
217,210.0,740.0,210.0,740.0,0.0,0.11,0.8221,True,2549.2
218,510.0,530.0,510.0,530.0,0.0,0.12,0.8187,True,2221.46
219,690.0,530.0,690.0,530.0,0.0,0.11,0.7694,True,2327.25
220,740.5,509.5,740.0,510.0,0.707,0.105,0.8486,True,2309.13
221,821.0,391.0,820.5,390.5,0.707,0.11,0.7815,True,2369.1
222,360.5,280.5,360.5,280.5,0.0,0.105,0.8012,True,2275.91
223,740.0,371.0,740.5,370.5,0.707,0.1,0.7846,True,2222.08
224,660.0,470.0,660.0,470.0,0.0,0.09,0.805,True,2171.49
225,289.5,699.5,290.0,700.0,0.707,0.105,0.8008,True,2325.09
226,610.0,470.0,610.0,470.0,0.0,0.12,0.8131,True,2286.52
227,311.0,531.0,310.5,530.5,0.707,0.11,0.8106,True,2289.46
228,700.0,180.0,700.0,180.0,0.0,0.11,0.8174,True,2435.86
229,170.0,90.0,400.0,330.0,332.415,0.1,0.7603,True,2172.45
230,320.0,460.0,320.0,460.0,0.0,0.09,0.7805,True,2074.8
231,720.0,420.0,720.5,420.5,0.707,0.1,0.8015,True,2045.39
232,580.0,380.0,580.0,380.0,0.0,0.1,0.8049,True,2117.59
233,501.0,561.0,500.5,560.5,0.707,0.09,0.7479,True,2121.17
234,511.0,820.0,510.5,820.5,0.707,0.1,0.7869,True,2223.65
235,700.5,800.5,700.5,800.5,0.0,0.105,0.8228,True,2075.74
236,749.5,429.5,750.0,430.0,0.707,0.085,0.756,True,2753.96
237,270.5,800.5,270.5,800.5,0.0,0.085,0.765,True,2716.33
238,340.0,341.0,340.5,340.5,0.707,0.09,0.7257,True,2764.64
239,400.5,480.5,400.5,480.5,0.0,0.085,0.7876,True,2630.47
240,280.0,491.0,280.5,490.5,0.707,0.09,0.7486,True,2671.76
241,410.5,240.5,410.5,240.5,0.0,0.115,0.7941,True,2784.62
242,340.0,620.0,340.0,620.0,0.0,0.1,0.8343,True,2748.46
243,600.0,800.0,600.0,800.0,0.0,0.1,0.7527,True,2826.82
244,800.5,210.5,800.5,210.5,0.0,0.105,0.8694,True,2765.95
245,400.0,740.0,400.0,740.0,0.0,0.11,0.797,True,2917.05
246,450.5,720.5,450.5,720.5,0.0,0.085,0.8083,True,2814.4
247,711.0,500.0,710.5,500.5,0.707,0.11,0.817,True,2867.81
248,550.5,370.5,550.5,370.5,0.0,0.095,0.7584,True,2797.61
249,370.5,549.5,370.0,550.0,0.707,0.115,0.8271,True,2985.59
250,250.0,330.0,250.0,330.0,0.0,0.09,0.794,True,2993.69
251,510.0,540.0,510.0,540.0,0.0,0.11,0.7789,True,2885.97
252,750.0,650.0,750.5,650.5,0.707,0.1,0.8158,True,2982.93
253,710.0,760.0,710.0,760.0,0.0,0.12,0.8388,True,2827.48
254,640.0,610.0,640.0,610.0,0.0,0.09,0.7883,True,2806.49
255,940.0,400.0,180.5,180.5,790.582,0.1,0.751,True,2863.68
256,550.0,170.0,550.0,170.0,0.0,0.1,0.8002,True,3034.97
257,650.0,180.0,650.5,180.5,0.707,0.08,0.7985,True,3037.13
258,510.5,410.5,510.5,410.5,0.0,0.105,0.836,True,2836.24
259,649.5,550.5,650.0,550.0,0.707,0.115,0.807,True,2890.55
260,591.0,530.0,590.5,530.5,0.707,0.08,0.7521,True,2804.12
261,319.5,440.5,320.0,440.0,0.707,0.115,0.827,True,2245.68
262,410.5,800.5,410.5,800.5,0.0,0.095,0.8285,True,1250.16
263,260.5,660.5,260.5,660.5,0.0,0.115,0.8814,True,2009.14
264,370.0,480.0,210.0,480.0,160.0,0.1,0.7804,True,2754.46
265,330.5,219.5,330.0,220.0,0.707,0.085,0.7604,True,2753.75
266,480.0,300.0,480.5,300.5,0.707,0.1,0.8145,True,2820.27
267,391.0,751.0,390.5,750.5,0.707,0.12,0.8318,True,2676.21
268,180.5,740.5,180.5,740.5,0.0,0.115,0.8422,True,2796.8
269,570.5,700.5,570.5,700.5,0.0,0.095,0.7683,True,2632.09
270,709.5,500.5,710.0,500.0,0.707,0.115,0.8098,True,2769.61
271,281.0,430.0,280.5,430.5,0.707,0.11,0.796,True,2615.22
272,170.0,540.0,170.0,540.0,0.0,0.08,0.8327,True,2658.67
273,800.5,739.5,800.0,740.0,0.707,0.085,0.7763,True,2586.14
274,490.0,551.0,490.5,550.5,0.707,0.1,0.7962,True,2709.73
275,760.5,390.5,760.5,390.5,0.0,0.115,0.8468,True,2810.52
276,390.5,450.5,390.0,450.0,0.707,0.115,0.8105,True,2807.29
277,270.5,510.5,270.5,510.5,0.0,0.105,0.8186,True,2792.73
278,320.0,720.0,540.0,210.0,555.428,0.1,0.7804,True,2718.1
279,261.0,571.0,260.5,570.5,0.707,0.11,0.7946,True,2828.74
280,160.0,570.0,660.0,830.0,563.56,0.1,0.7587,True,1984.47
281,680.5,170.5,680.0,170.0,0.707,0.115,0.8173,True,1236.78
282,800.5,780.5,800.5,780.5,0.0,0.105,0.8058,True,1256.27
283,569.5,190.5,570.0,190.0,0.707,0.105,0.8235,True,1238.38
284,560.0,740.0,560.0,740.0,0.0,0.12,0.8048,True,1291.55
285,490.5,800.5,490.5,800.5,0.0,0.115,0.7657,True,1355.0
286,720.0,180.0,720.0,180.0,0.0,0.1,0.8613,True,1535.43
287,370.0,610.0,370.0,610.0,0.0,0.1,0.8895,True,2586.52
288,510.0,240.0,210.5,590.5,461.032,0.1,0.7644,True,2590.34
289,580.5,670.5,580.5,670.5,0.0,0.115,0.8436,True,2472.5
290,690.0,780.0,690.0,780.0,0.0,0.11,0.8218,True,2246.08
291,310.0,550.0,580.0,250.0,403.609,0.1,0.7848,True,2570.38
292,710.5,800.5,710.5,800.5,0.0,0.115,0.8971,True,2684.88
293,200.5,590.5,200.5,590.5,0.0,0.085,0.7765,True,2122.71
294,490.0,310.0,490.0,310.0,0.0,0.09,0.7776,True,2103.0
295,770.5,490.5,770.0,490.0,0.707,0.095,0.7852,True,2173.57
296,770.0,650.0,770.0,650.0,0.0,0.08,0.77,True,2055.55
297,180.0,740.0,180.0,740.0,0.0,0.08,0.7758,True,2062.81
298,720.5,370.5,720.5,370.5,0.0,0.105,0.89,True,2157.96
299,820.5,780.5,820.0,780.0,0.707,0.105,0.803,True,2049.0
300,610.0,250.0,610.0,250.0,0.0,0.11,0.8066,True,2077.25
301,310.0,730.0,820.5,810.5,516.808,0.1,0.7499,True,2163.22
302,240.5,650.5,240.5,650.5,0.0,0.105,0.8987,True,2165.27
303,760.0,320.0,760.0,320.0,0.0,0.09,0.743,True,2135.37
304,600.0,480.0,600.0,480.0,0.0,0.1,0.8109,True,2165.59
305,600.5,380.5,600.5,380.5,0.0,0.095,0.8418,True,2115.89
306,350.0,360.0,350.0,360.0,0.0,0.11,0.7817,True,2257.42
307,360.5,579.5,360.0,580.0,0.707,0.095,0.756,True,2104.97
308,690.0,250.0,690.0,250.0,0.0,0.1,0.8869,True,2193.8
309,361.0,490.0,360.5,490.5,0.707,0.08,0.7666,True,2212.26
310,230.0,770.0,230.5,770.5,0.707,0.12,0.8499,True,2129.68
311,500.0,370.0,500.0,370.0,0.0,0.09,0.7075,True,2046.7
312,770.0,240.0,770.0,240.0,0.0,0.1,0.8439,True,2191.04
313,460.5,430.5,460.5,430.5,0.0,0.105,0.8283,True,2117.14
314,260.5,750.5,260.5,750.5,0.0,0.115,0.8722,True,2255.29
315,500.0,790.0,500.0,790.0,0.0,0.08,0.8573,True,2119.37
316,270.5,619.5,270.0,620.0,0.707,0.105,0.8353,True,2182.83
317,170.5,679.5,170.0,680.0,0.707,0.095,0.7987,True,2260.01
318,189.5,720.5,190.0,720.0,0.707,0.095,0.779,True,2028.27
319,230.5,460.5,230.5,460.5,0.0,0.095,0.8657,True,2184.68
320,761.0,660.0,760.5,660.5,0.707,0.1,0.7896,True,2121.49
321,539.5,199.5,540.0,200.0,0.707,0.105,0.838,True,2260.88
322,800.0,440.0,800.0,440.0,0.0,0.09,0.7514,True,2278.7
323,781.0,791.0,780.5,790.5,0.707,0.12,0.8405,True,2267.42
324,631.0,570.0,630.5,570.5,0.707,0.1,0.7992,True,2033.03
325,801.0,430.0,800.5,430.5,0.707,0.12,0.8202,True,2054.83
326,270.0,410.0,810.5,400.5,540.583,0.1,0.7495,True,2087.71
327,260.0,520.0,260.0,520.0,0.0,0.1,0.7943,True,2034.08
328,390.0,370.0,390.0,370.0,0.0,0.11,0.8155,True,2107.01
329,210.0,240.0,210.0,240.0,0.0,0.09,0.7888,True,2299.64
330,270.5,399.5,270.0,400.0,0.707,0.095,0.7895,True,2472.76
331,780.5,510.5,780.5,510.5,0.0,0.105,0.8208,True,2381.73
332,620.5,560.5,620.5,560.5,0.0,0.085,0.8401,True,1514.49
333,470.5,770.5,470.5,770.5,0.0,0.115,0.8745,True,2143.74
334,689.5,189.5,690.0,190.0,0.707,0.095,0.7759,True,2465.65
335,350.5,820.5,350.0,820.0,0.707,0.105,0.8031,True,2104.36
336,239.5,390.5,240.0,390.0,0.707,0.105,0.8175,True,2304.4
337,810.0,820.0,810.5,820.5,0.707,0.1,0.806,True,1985.62
338,410.0,770.0,410.5,770.5,0.707,0.12,0.8207,True,1303.59
339,720.5,490.5,720.0,490.0,0.707,0.105,0.8458,True,2543.01
340,210.5,630.5,210.5,630.5,0.0,0.095,0.7632,True,2258.34
341,370.5,510.5,370.5,510.5,0.0,0.085,0.8765,True,2415.62
342,670.5,700.5,670.5,700.5,0.0,0.095,0.8544,True,2177.0
343,790.0,551.0,790.5,550.5,0.707,0.1,0.8028,True,2208.98
344,280.0,590.0,280.0,590.0,0.0,0.12,0.8276,True,2312.88
345,230.5,250.5,230.0,250.0,0.707,0.085,0.7941,True,2425.37
346,451.0,830.0,450.5,830.5,0.707,0.1,0.8165,True,2275.5
347,360.0,640.0,360.0,640.0,0.0,0.11,0.8335,True,2610.58
348,480.0,571.0,480.5,570.5,0.707,0.1,0.7899,True,2725.19
349,820.0,670.0,820.0,670.0,0.0,0.09,0.7833,True,2357.74
350,310.5,200.5,310.5,200.5,0.0,0.095,0.8697,True,2157.24
351,570.0,680.0,570.0,680.0,0.0,0.09,0.795,True,2261.97
352,750.0,630.0,330.0,200.0,601.082,0.1,0.7877,True,2170.48
353,280.5,500.5,280.5,500.5,0.0,0.095,0.7401,True,2169.35
354,600.0,820.0,600.0,820.0,0.0,0.1,0.7796,True,2247.33
355,210.5,250.5,210.5,250.5,0.0,0.095,0.8582,True,2210.48
356,730.0,621.0,730.5,620.5,0.707,0.09,0.7381,True,2178.79
357,300.5,420.5,300.5,420.5,0.0,0.085,0.7277,True,2253.9
358,770.5,810.5,770.5,810.5,0.0,0.095,0.8188,True,2229.66
359,439.5,440.5,440.0,440.0,0.707,0.115,0.7782,True,2224.81
360,450.5,580.5,450.5,580.5,0.0,0.085,0.8319,True,2293.94
361,450.5,360.5,450.5,360.5,0.0,0.085,0.7369,True,2146.21
362,190.0,440.0,190.0,440.0,0.0,0.1,0.809,True,2445.67
363,240.0,320.0,240.5,320.5,0.707,0.1,0.773,True,2335.11
364,620.0,291.0,620.5,290.5,0.707,0.08,0.7583,True,2461.99
365,230.0,480.0,230.0,480.0,0.0,0.08,0.7914,True,2421.51
366,830.5,470.5,830.5,470.5,0.0,0.085,0.7964,True,2281.85
367,190.5,740.5,190.5,740.5,0.0,0.095,0.8152,True,2310.4
